Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern
PGEL,582.15,-0.21,8720050.0,1.52,,,,,,,,,291650.0,-94.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
INDUSTOWER,390.1,0.03,80719400.0,0.91,,,,,,,,,1504500.0,-94.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
SOLARINDS,18393.0,-1.87,696700.0,1.44,,,,,,,,,15300.0,-94.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
TITAN,4762.8,0.11,5069225.0,0.7,,,,,,,,,98700.0,-94.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
BSE,3536.4,-0.68,6452600.0,1.33,,,,,,,,,182600.0,-94.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
FORCEMOT,17100.0,-0.33,268275.0,1.76,,,,,,,,,9025.0,-94.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
BANDHANBNK,166.64,-1.18,116269200.0,0.73,,,,,,,,,1807200.0,-94.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
TORNTPHARM,5013.2,0.38,4533125.0,0.07,,,,,,,,,132000.0,-91.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
ADANIGREEN,1390.0,-1.3,22534200.0,1.84,,,,,,,,,636600.0,-92.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
POWERINDIA,31015.0,-2.35,457000.0,1.75,,,,,,,,,21675.0,-89.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
CUMMINSIND,5555.5,-2.0,3568600.0,2.36,,,,,,,,,125000.0,-89.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup
HINDUNILVR,2205.0,0.86,15872100.0,1.65,,,,,,,,,615000.0,-90.0,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
