Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
MARICO,865.9,0.67,12132000.0,0.27,,,,,,,,,122400.0,-96.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ICICIBANK,1434.7,-0.33,99425900.0,0.58,,,,,,,,,751100.0,-96.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SHREECEM,26740.0,0.02,294525.0,0.02,,,,,,,,,4300.0,-96.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
JSWENERGY,547.4,-1.08,21680600.0,0.78,,,,,,,,,258000.0,-96.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BHARTIARTL,1910.5,-0.37,55256275.0,0.31,,,,,,,,,315875.0,-96.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
HDFCAMC,2544.0,-0.74,5594400.0,0.37,,,,,,,,,46500.0,-96.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
PFC,419.8,0.6,39305500.0,0.74,,,,,,,,,631800.0,-96.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
PREMIERENE,1038.6,0.03,6177600.0,0.27,,,,,,,,,74750.0,-96.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
NYKAA,330.3,0.36,43012500.0,0.37,,,,,,,,,418750.0,-97.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
KOTAKBANK,387.35,-0.09,167126000.0,0.58,,,,,,,,,1362000.0,-97.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
ZYDUSLIFE,1115.5,0.0,9065700.0,0.36,,,,,,,,,79200.0,-97.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BOSCHLTD,40960.0,-0.7,191550.0,0.2,,,,,,,,,1950.0,-97.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
DIVISLAB,7485.0,0.31,3395100.0,0.4,,,,,,,,,40000.0,-97.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
FORTIS,945.35,-0.39,8068525.0,0.58,,,,,,,,,75950.0,-97.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
PIDILITIND,1625.8,0.18,6946500.0,0.41,,,,,,,,,102500.0,-97.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
UNIONBANK,170.4,-0.4,110155950.0,0.5,,,,,,,,,995625.0,-97.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
