trading_date,observation_timestamp,symbol,direction,open_price,current_price,opening_straddle_premium,approaching_level,breakout_level,distance_to_breakout,approach_progress_pct
2026-08-19,2026-08-19T09:30:25.536416,ICICIPRULI,DOWN,502.9,495.6,12.069599999999998,496.8652,490.8304,4.769600000000025,60.48253463246467
2026-08-19,2026-08-19T09:30:25.536416,POWERINDIA,DOWN,34765.0,34080.0,1143.7685,34193.11575,33621.2315,458.7684999999983,59.88974167412373
2026-08-19,2026-08-19T09:30:25.536416,GODREJPROP,DOWN,2016.0,1979.9,63.504,1984.248,1952.496,27.404,56.846812799193614
2026-08-19,2026-08-19T09:30:25.536416,DLF,DOWN,673.5,662.0,20.3397,663.33015,653.1603,8.839699999999993,56.53967364317074
2026-08-19,2026-08-19T09:30:25.536416,POLICYBZR,UP,1738.2,1768.9,56.66532,1766.53266,1794.86532,25.96532000000002,54.17775810672214
2026-08-19,2026-08-19T09:30:25.536416,PAGEIND,DOWN,36480.0,35950.0,1017.792,35971.104,35462.208,487.7920000000013,52.07350814311765
2026-08-19,2026-08-19T09:30:25.536416,COCHINSHIP,DOWN,1509.0,1484.8,47.0808,1485.4596,1461.9192,22.88079999999991,51.40099573499186
2026-08-19,2026-08-19T09:30:25.536416,BHEL,DOWN,424.3,416.85,14.76564,416.91718,409.53436,7.31564000000003,50.45497519917856
2026-08-19,2026-08-19T09:40:47.003936,GLENMARK,DOWN,2301.3,2265.1,52.00938,2275.29531,2249.29062,15.809379999999692,69.60282933578571
2026-08-19,2026-08-19T09:40:47.003936,BDL,DOWN,1405.0,1373.1,51.00149999999999,1379.49925,1353.9985,19.101499999999987,62.54717998490259
2026-08-19,2026-08-19T09:40:47.003936,ADANIGREEN,DOWN,1310.0,1284.8,42.575,1288.7125,1267.425,17.375,59.18966529653563
2026-08-19,2026-08-19T09:40:47.003936,BEL,DOWN,414.0,407.95,10.2258,408.8871,403.7742,4.175799999999981,59.164075182381936
2026-08-19,2026-08-19T09:40:47.003936,ADANIENSOL,DOWN,1590.0,1554.8,60.897,1559.5515,1529.103,25.69699999999989,57.80251900750455
2026-08-19,2026-08-19T09:40:47.003936,ABB,DOWN,7546.0,7434.5,218.0794,7436.9603,7327.9206,106.57939999999962,51.12816708043033
2026-08-19,2026-08-19T09:40:47.003936,ABCAPITAL,DOWN,401.6,396.25,10.6424,396.2788000000001,390.9576,5.292399999999986,50.27061565060534
2026-08-19,2026-08-19T09:40:47.003936,IEX,DOWN,124.15,122.45,3.389295,122.4553525,120.760705,1.689295000000001,50.157923697996274
2026-08-19,2026-08-19T09:40:47.003936,LODHA,DOWN,1222.0,1200.0,43.8698,1200.0651,1178.1302,21.86979999999994,50.1483936557723
2026-08-19,2026-08-19T09:56:11.666385,GVT&D,DOWN,4145.0,4055.0,161.655,4064.1725,3983.345,71.6550000000002,55.67412081284216
2026-08-19,2026-08-19T09:56:11.666385,PETRONET,UP,285.0,289.95,9.2625,289.63125,294.2625,4.3125,53.441295546558585
2026-08-19,2026-08-19T10:32:16.348560,PAYTM,UP,1552.0,1600.0,51.3712,1577.6856,1603.3712,3.3712000000000444,93.43756813156008
2026-08-19,2026-08-19T10:32:16.348560,POWERGRID,DOWN,267.95,264.3,4.71592,265.59204,263.23408,1.0659200000000055,77.39741132165044
2026-08-19,2026-08-19T10:32:16.348560,JINDALSTEL,UP,1097.0,1116.0,26.328,1110.164,1123.328,7.3279999999999745,72.16651473716198
2026-08-19,2026-08-19T10:32:16.348560,TATAPOWER,DOWN,379.95,375.1,8.092934999999999,375.9035325,371.857065,3.2429350000000454,59.92881445359399
2026-08-19,2026-08-19T10:32:16.348560,TCS,DOWN,2308.0,2270.0,63.9316,2276.0342,2244.0684,25.93159999999989,59.438524923512006
2026-08-19,2026-08-19T10:32:16.348560,VOLTAS,DOWN,1248.0,1225.3,38.3136,1228.8432,1209.6864,15.613599999999906,59.2478910882821
2026-08-19,2026-08-19T10:32:16.348560,KPITTECH,DOWN,604.5,593.15,20.0694,594.4653,584.4306,8.71939999999995,56.55375845815034
2026-08-19,2026-08-19T10:32:16.348560,SAIL,UP,170.55,173.18,4.7754,172.9377,175.3254,2.145399999999995,55.07392050927661
2026-08-19,2026-08-19T10:32:16.348560,HEROMOTOCO,UP,5680.0,5757.0,140.864,5750.432,5820.864,63.86399999999958,54.662653339391184
2026-08-19,2026-08-19T10:32:16.348560,KAYNES,UP,3659.1,3741.7,155.14584000000002,3736.67292,3814.24584,72.54584000000023,53.24022867773953
2026-08-19,2026-08-19T10:32:16.348560,FORCEMOT,DOWN,18228.0,17916.0,610.638,17922.681,17617.362,298.637999999999,51.094101579004246
2026-08-19,2026-08-19T10:32:16.348560,SOLARINDS,DOWN,20050.0,19695.0,695.735,19702.1325,19354.265,340.7350000000006,51.02517481512358
2026-08-19,2026-08-19T10:42:33.810569,MCX,DOWN,3058.0,2988.5,113.146,3001.427,2944.854,43.646000000000186,61.42506142506142
2026-08-19,2026-08-19T10:42:33.810569,GRASIM,DOWN,3272.3,3225.1,76.89905,3233.850475,3195.40095,29.69904999999972,61.37917178430718
2026-08-19,2026-08-19T10:42:33.810569,ADANIPORTS,DOWN,1691.5,1672.0,38.05875,1672.470625,1653.44125,18.55874999999992,51.236575032022856
2026-08-19,2026-08-19T10:42:33.810569,SENSEX,DOWN,77402.1,77170.0,456.67239,77173.76380500001,76945.42761,224.5723900000012,50.82418054658523
2026-08-19,2026-08-19T10:42:33.810569,MFSL,DOWN,1581.0,1560.0,41.7384,1560.1308,1539.2616,20.73839999999996,50.31338048415848
2026-08-19,2026-08-19T11:28:50.906457,UPL,UP,558.15,568.5,13.95375,565.1268749999999,572.10375,3.603749999999991,74.17360924482682
2026-08-19,2026-08-19T11:28:50.906457,MPHASIS,DOWN,2458.0,2404.1,87.0132,2414.4934,2370.9868,33.11319999999978,61.94462449375507
2026-08-19,2026-08-19T11:28:50.906457,SRF,DOWN,2632.5,2596.6,58.441500000000005,2603.27925,2574.0585,22.54149999999981,61.42895031783936
2026-08-19,2026-08-19T11:28:50.906457,JSWENERGY,DOWN,548.05,541.15,12.659955,541.7200224999999,535.390045,5.759954999999991,54.50256339773701
2026-08-19,2026-08-19T11:28:50.906457,HYUNDAI,UP,2184.2,2215.0,60.72075999999999,2214.56038,2244.92076,29.920759999999973,50.72400279574924
2026-08-19,2026-08-19T11:28:50.906457,BSE,UP,3319.0,3377.9,116.165,3377.0825,3435.165,57.26499999999987,50.703740369302366
2026-08-19,2026-08-19T13:12:07.298214,ICICIBANK,DOWN,1415.2,1397.0,25.04904,1402.67548,1390.15096,6.849040000000059,72.6574750968502
2026-08-19,2026-08-19T13:12:07.298214,HINDZINC,UP,549.0,561.25,16.9641,557.48205,565.9641,4.71410000000003,72.2113168396791
2026-08-19,2026-08-19T13:12:07.298214,COLPAL,DOWN,1903.0,1874.3,42.6272,1881.6864,1860.3728,13.927199999999857,67.32790331056238
2026-08-19,2026-08-19T13:12:07.298214,360ONE,UP,1165.0,1186.0,32.969500000000004,1181.48475,1197.9695,11.969499999999925,63.69523347336173
2026-08-19,2026-08-19T13:12:07.298214,APOLLOHOSP,DOWN,8840.0,8754.0,150.28,8764.86,8689.72,64.28000000000065,57.22651051370774
2026-08-19,2026-08-19T13:12:07.298214,NYKAA,UP,321.9,326.5,8.465969999999999,326.13298499999996,330.36596999999995,3.8659699999999475,54.3351795482387
2026-08-19,2026-08-19T13:12:07.298214,AXISBANK,DOWN,1244.0,1230.6,24.7556,1231.6222,1219.2444,11.355599999999868,54.129166733991866
2026-08-19,2026-08-19T13:12:07.298214,BHARATFORG,DOWN,2093.4,2063.0,56.521800000000006,2065.1391,2036.8782,26.121799999999894,53.78455746278442
