Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
MAZDOCK,2307.0,5.9,5024700.0,-1.86,,,,,,,,,340425.0,-51.75,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
CGPOWER,906.9,-6.0,19433550.0,-0.17,,,,,,,,,1810500.0,-51.92,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
INDIGO,5108.0,-2.0,5498250.0,1.44,,,,,,,,,667650.0,-52.2,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
HINDZINC,537.3,2.4,26532275.0,0.35,,,,,,,,,1626800.0,-52.21,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
AUBANK,977.0,-4.8,19430000.0,1.28,,,,,,,,,1508000.0,-52.34,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
JINDALSTEL,1049.2,4.0,11414375.0,-1.33,,,,,,,,,847500.0,-53.35,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
PERSISTENT,5072.1,-9.7,4560750.0,2.32,,,,,,,,,321125.0,-53.36,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
DLF,648.6,3.75,38310650.0,-0.54,,,,,,,,,2169800.0,-53.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
CAMS,764.15,-8.35,6657750.0,1.13,,,,,,,,,368775.0,-54.06,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
RADICO,4089.2,-52.3,545400.0,-0.14,,,,,,,,,42900.0,-54.89,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
PIDILITIND,1586.5,-9.4,6615500.0,1.17,,,,,,,,,418500.0,-55.12,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
NIFTYNXT50,72380.0,184.4,14700.0,-3.76,,,,,,,,,1000.0,-55.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
NAUKRI,1165.2,-20.9,12811150.0,1.2,,,,,,,,,889900.0,-55.83,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
UNOMINDA,1148.6,17.5,4576550.0,0.97,,,,,,,,,331650.0,-55.89,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
GVT&D,4480.8,-11.4,1803500.0,2.75,,,,,,,,,143250.0,-55.97,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
KEI,4995.5,13.5,1890350.0,3.34,,,,,,,,,220150.0,-56.3,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
TITAN,4695.4,-20.9,4941825.0,-0.02,,,,,,,,,263900.0,-56.57,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
TMPV,327.85,-0.2,81691200.0,-0.55,,,,,,,,,3939200.0,-57.06,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
NIFTY,23977.7,-10.7,14200420.0,-1.72,,,,,,,,,1244035.0,-57.07,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
UPL,611.65,3.05,24407615.0,0.65,,,,,,,,,1570445.0,-57.25,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
HDFCAMC,2554.9,10.4,5109000.0,1.13,,,,,,,,,434700.0,-57.85,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
